playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
82,53.0,20.0,19.654402515723277,5.5,1.3,2.7,47.2%,0.4,1.2,32.8%,1.8,2.2,80.9%,1.2,2.5,3.7,1.6,0.8,1.3,0.1,0.2,1.8,2.4,8.1,004172,"PONITKA, MATEUSZ"
83,86.0,32.0,17.64108527131783,8.5,3.3,6.1,54.3%,0.1,0.4,33.3%,1.5,2.2,67.5%,1.3,2.2,3.6,1.0,0.6,1.3,0.3,0.7,2.2,2.1,8.1,011934,"WETZELL, YANNI"
84,63.0,17.0,17.82857142857143,7.3,1.3,3.0,42.3%,1.1,2.8,39.7%,1.4,1.8,81.1%,0.3,1.5,1.7,3.5,0.5,1.5,0.0,0.3,1.6,2.2,8.2,012044,"DOS SANTOS, YAGO"
85,78.0,56.0,25.039957264957263,10.9,2.8,5.6,48.9%,1.2,3.4,35%,1.8,2.2,83.3%,0.7,2.4,3.1,1.8,0.8,2.1,0.1,0.4,2.7,2.2,8.3,012080,"LUWAWU-CABARROT, TIMOTHE"
86,100.0,65.0,20.096166666666665,6.2,1.5,2.6,58.8%,0.9,2.7,32.2%,0.5,0.8,65.1%,1.1,3.4,4.5,2.0,0.4,1.2,0.3,0.1,1.5,1.0,8.5,007201,"VOIGTMANN, JOHANNES"
87,89.0,49.0,25.529026217228463,7.9,1.7,3.4,49.5%,1.1,3.0,36.7%,1.3,1.5,83.6%,0.6,2.0,2.5,2.6,0.8,1.3,0.1,0.2,2.0,2.0,8.5,011205,"HALL, DEVON"
88,67.0,47.0,21.12139303482587,7.5,1.9,3.0,62.8%,0.9,2.6,33.5%,1.1,1.4,79.2%,1.1,2.5,3.5,1.2,0.6,0.9,0.4,0.3,2.2,1.9,8.6,006919,"OLINDE, LOUIS"
89,86.0,41.0,15.423837209302324,6.8,2.9,4.4,66.7%,0.0,0.0,0%,1.0,1.6,63%,1.5,1.9,3.4,0.6,0.3,0.7,0.4,0.3,1.4,1.5,8.6,004554,"ZIZIC, ANTE"
90,114.0,100.0,23.06213450292398,7.0,1.2,2.1,59.7%,1.2,3.2,37.9%,0.8,1.2,69.2%,0.7,2.7,3.4,2.2,0.7,1.1,0.2,0.1,1.7,1.3,8.6,001255,"PAPANIKOLAOU, KOSTAS"
91,64.0,31.0,15.201041666666669,5.7,2.4,3.7,65.8%,0.0,0.0,0%,0.8,1.4,59.3%,1.8,3.0,4.8,0.3,0.3,0.9,1.0,0.2,2.0,1.4,8.6,010791,"KOUMADJE, KHALIFA"
