playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
73.0,39.0,35.0,18.449572649572648,6.7,1.7,3.5,47.8%,0.9,2.5,35.7%,0.6,1.0,65.8%,1.1,2.4,3.5,0.5,0.6,0.8,0.3,0.1,1.4,1.3,6.8,009783,"COLSON, BONZIE"
163.0,34.0,31.0,26.9156862745098,12.0,3.4,6.1,56.8%,0.8,3.0,27.7%,2.7,3.4,79.8%,1.0,2.9,3.9,3.9,0.7,2.0,0.3,0.2,2.8,3.3,13.6,009549,"CORDINIER, ISAIA"
,,,,,,,,,,,,,,,,,,,,,,,,,,"COSTELLO, MATTHEW"
56.0,25.0,5.0,15.460666666666668,4.8,1.8,2.8,65.2%,0.2,0.8,31.6%,0.5,0.8,68.4%,1.2,1.9,3.1,0.5,0.5,0.8,0.2,0.2,2.1,1.3,5.6,011244,"DA SILVA, OSCAR"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DANGUBIC, NEMANJA"
34.0,28.0,10.0,12.549404761904762,3.8,1.0,1.5,65.9%,0.4,0.9,40%,0.8,1.0,82.1%,0.3,1.5,1.8,0.5,0.4,0.3,0.2,0.1,1.6,1.0,4.4,007960,"DAVIDOVAC, DEJAN"
133.0,33.0,17.0,18.717676767676767,9.9,2.8,5.4,51.4%,1.0,2.0,49.2%,1.4,2.4,59.5%,0.9,2.7,3.6,1.5,0.9,1.4,0.4,0.3,2.5,3.2,10.8,007870,"DAVIES, BRANDON"
159.0,32.0,0.0,20.593229166666667,11.5,1.8,3.3,52.8%,1.7,4.5,38.5%,2.8,3.0,94.8%,0.3,1.4,1.7,4.5,0.8,2.3,0.0,0.4,1.6,3.4,13.1,002100,"DE COLO, NANDO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DE LARREA, SERGIO"
108.0,28.0,15.0,23.37559523809524,8.0,2.2,3.6,61.8%,0.8,1.8,41.2%,1.2,1.9,65.4%,1.0,2.2,3.2,1.4,0.5,1.0,0.2,0.3,1.8,1.6,8.6,009005,"DECK, GABRIEL"
60.0,23.0,12.0,18.19855072463768,5.7,1.9,3.1,62%,0.4,2.0,19.6%,0.7,1.0,77.3%,1.0,1.7,2.7,1.6,0.8,0.7,0.2,0.3,2.6,1.5,5.9,008211,"DELOW, MALTE"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DESSERT, BRICE"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIAKITE, MAMADI"
153.0,35.0,27.0,26.562380952380952,11.5,3.7,6.1,60.6%,0.9,2.1,44%,1.3,2.0,66.7%,1.5,2.5,4.0,1.7,1.0,1.2,0.3,0.4,3.0,2.5,12.2,011226,"DIALLO, ALPHA"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIALLO, HAMIDOU"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIARRA, ALIOU"
48.0,33.0,6.0,17.421212121212122,5.2,0.2,0.6,33.3%,1.3,3.1,42.7%,0.7,0.8,88.9%,0.7,1.2,1.9,0.7,0.7,0.2,0.0,0.1,2.3,1.8,5.2,007990,"DIBARTOLOMEO, JOHN"
67.0,27.0,7.0,16.849382716049384,7.6,1.9,4.2,45.1%,0.7,2.8,23.7%,1.8,2.0,87.3%,0.3,1.3,1.6,2.9,0.4,1.5,0.0,0.2,1.2,1.8,6.5,006085,"DIMITRIJEVIC, NENO"
58.0,32.0,11.0,14.4609375,4.1,1.8,2.8,62.9%,0.0,0.1,0%,0.6,1.1,52.8%,1.7,1.9,3.6,0.5,0.3,0.7,0.5,0.3,2.0,1.4,5.8,008072,"DIOP, KHALIFA"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIOP, OUSMANE"
97.0,31.0,10.0,15.853225806451611,6.2,2.1,3.5,60%,0.0,0.0,0%,2.0,2.8,70.1%,1.3,1.8,3.1,0.4,0.6,0.7,0.4,0.2,2.0,2.2,7.9,013374,"DIOUF, MOUHAMET"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIRSEN, METECAN"
9.0,27.0,13.0,11.079629629629627,3.5,0.9,1.4,60.5%,0.5,1.7,28.9%,0.3,0.4,75%,0.3,0.8,1.1,0.4,0.5,0.6,0.1,0.0,1.3,0.6,2.3,004007,"DOBRIC, OGNJEN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DOKOSSI, ALLAN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DORSEY, TYLER"
89.0,35.0,1.0,16.244761904761905,6.3,1.1,2.8,38.1%,1.0,2.5,39.1%,1.3,1.5,81.5%,0.2,1.3,1.6,3.3,0.5,1.2,0.0,0.2,1.4,2.2,7.5,012044,"DOS SANTOS, YAGO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DOWTIN JR., JEFF"
,,,,,,,,,,,,,,,,,,,,,,,,,,"DOZIER JR, PERRY"
53.0,34.0,16.0,15.699019607843136,4.1,1.7,2.7,62.4%,0.0,0.1,0%,0.7,1.1,63.9%,1.7,1.6,3.3,0.9,0.5,0.6,0.5,0.1,2.8,1.0,5.4,003048,"DUNSTON, BRYANT"
178.0,35.0,31.0,28.82523809523809,20.4,4.3,8.0,53.9%,2.9,8.0,35.6%,3.2,3.5,91%,0.5,1.8,2.3,3.3,1.0,2.3,0.1,0.9,2.1,4.2,16.7,011987,"EDWARDS, CARSEN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"EKSIOGLU, MERT"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ELLIS, QUINN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"ENNIS, TYLER"
103.0,35.0,32.0,17.37238095238095,5.8,2.5,3.4,73.7%,0.0,0.0,0%,0.8,1.9,41.2%,1.3,1.6,2.9,1.9,0.3,0.9,0.8,0.1,2.4,2.2,8.3,008811,"FALL, MOUSTAPHA"
47.0,29.0,18.0,10.44425287356322,4.4,1.9,2.7,70.1%,0.0,0.0,0%,0.7,1.0,66.7%,1.4,2.0,3.3,0.0,0.1,0.9,0.2,0.1,1.8,1.0,5.2,006568,"FALL, YOUSSOUPHA"
,,,,,,,,,,,,,,,,,,,,,,,,,,"FAYE, MOUHAMED"
43.0,33.0,5.0,14.193939393939392,4.8,1.5,2.7,54.4%,0.4,1.5,29.2%,0.5,0.9,62.1%,0.4,1.4,1.8,1.6,0.7,0.7,0.1,0.3,2.1,1.5,4.8,011247,"FELIZ, ANDRES"
,,,,,,,,,,,,,,,,,,,,,,,,,,"FERNANDO, BRUNO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"FLACCADORI, DIEGO"
145.0,34.0,28.0,24.780882352941177,9.7,3.2,6.1,52.2%,0.6,1.7,32.8%,1.6,1.9,81.8%,0.4,2.4,2.8,4.7,0.8,1.9,0.2,0.5,1.9,2.2,11.6,013367,"FORREST, TRENT"
157.0,37.0,36.0,25.79144144144144,16.1,2.9,5.7,50.7%,2.5,6.9,35.8%,2.9,4.0,73.5%,0.6,1.6,2.2,2.6,1.1,1.8,0.1,0.3,2.0,3.0,12.6,013380,"FOURNIER, EVAN"
173.0,34.0,18.0,25.49117647058824,14.6,2.1,4.3,47.9%,2.2,6.4,34.2%,3.8,5.1,75.6%,0.5,2.1,2.6,4.5,0.9,2.9,0.4,0.2,1.9,5.2,15.6,007975,"FRANCISCO, SYLVAIN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"FRISCH, CLEMENT"
77.0,32.0,22.0,16.525520833333335,6.0,2.6,4.1,64.1%,0.0,0.2,0%,0.7,1.8,41.1%,1.9,2.0,3.9,0.7,0.6,1.2,0.9,0.3,2.8,1.8,7.0,013383,"GABRIEL, WENYEN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"GALBIATI, PAOLO"
26.0,27.0,9.0,14.096913580246914,3.9,1.3,2.0,65.5%,0.3,1.3,23.5%,0.4,0.7,50%,0.9,2.2,3.1,0.6,0.6,0.6,0.4,0.2,2.6,0.6,3.8,007630,"GARUBA, USMAN"
37.0,30.0,18.0,24.011666666666667,5.8,1.5,3.1,46.8%,0.8,2.1,39.1%,0.4,0.5,78.6%,0.7,1.1,1.8,1.9,0.6,1.1,0.1,0.4,2.0,0.9,4.5,007513,"GIEDRAITIS, DOVYDAS"
44.0,34.0,2.0,15.800980392156864,4.8,0.9,1.6,51.8%,0.7,2.0,35.3%,0.9,1.3,72.7%,0.5,1.5,2.0,0.8,0.7,0.3,0.1,0.1,1.6,1.0,5.0,006436,"GIEDRAITIS, ROKAS"
52.0,25.0,8.0,18.192666666666668,6.4,1.0,1.8,54.5%,1.3,2.3,57.9%,0.6,0.7,77.8%,0.5,1.3,1.8,0.9,0.2,0.8,0.2,0.2,2.6,1.2,5.3,001557,"GIFFEY, NIELS"
,,,,,,,,,,,,,,,,,,,,,,,,,,"GINAT, TOMER"
,,,,,,,,,,,,,,,,,,,,,,,,,,"GOLEMAC, JURICA"
3.0,30.0,1.0,7.545555555555556,1.9,0.3,0.9,35.7%,0.3,0.9,33.3%,0.4,0.5,68.8%,0.2,1.0,1.3,0.3,0.1,0.5,0.3,0.1,1.2,0.5,1.2,011649,"GONZALEZ, HUGO"
,,,,,,,,,,,,,,,,,,,,,,,,,,"GRAHAM, DEVONTE"
131.0,41.0,32.0,26.865040650406502,8.6,1.8,3.2,55%,1.2,2.8,43%,1.5,1.8,84.7%,0.4,1.8,2.1,3.2,0.9,0.8,0.1,0.2,2.0,2.2,10.6,011204,"GRANT, JERIAN"
,,,,,,,,,,,,,,,,,,,,,,,,,,"GRIGONIS, MARIUS"
