playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
71,51.0,43.0,25.166013071895424,10.2,3.0,4.9,60.8%,0.7,2.5,29.4%,2.1,2.8,74.5%,0.8,2.4,3.2,1.4,1.0,1.5,0.1,0.3,2.1,3.1,10.7,005422,"JALLOW, KARIM",27,https://media-cdn.incrowdsports.com/477f9093-9b89-427c-8c45-6a7650eff69e.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
72,37.0,31.0,24.33153153153153,12.4,1.9,4.0,48.3%,2.1,4.7,45.4%,2.2,2.5,86.2%,0.6,1.5,2.1,1.9,0.8,2.0,0.1,0.3,2.0,2.7,10.9,004862,"SEELEY, DENNIS",35,https://media-cdn.incrowdsports.com/a4943465-7938-45eb-b555-48c67d662df0.png,CLU,UBT,U-BT Cluj-Napoca,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png
73,49.0,27.0,25.98809523809524,7.6,1.1,1.7,64.2%,1.1,3.6,31.6%,2.1,2.4,85%,1.2,3.1,4.3,2.0,1.0,1.3,0.0,0.1,2.2,2.9,10.9,LXI,"LIPKEVICIUS, VYTENIS",35,https://media-cdn.incrowdsports.com/f2d4935b-49b7-4e79-a103-97ffdcbc008c.png,LKB,LIE,Lietkabelis Panevezys ,https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png
74,32.0,18.0,24.380729166666665,14.0,2.2,4.6,48.6%,2.5,7.6,33.2%,1.9,2.2,88.6%,0.3,1.9,2.2,3.1,0.9,2.8,0.1,0.7,2.2,4.1,11.1,004292,"TOLIOPOULOS, VASSILIS",28,https://media-cdn.incrowdsports.com/463d6ebf-adb6-47f9-a277-fadc8e5769f9.png,ARI,ARI,Aris Thessaloniki,https://media-cdn.cortextech.io/28be84d9-ad7e-43b3-8d8c-822bb76b8a9e.png
75,50.0,26.0,23.191666666666666,10.1,2.1,3.6,57.7%,1.5,4.0,36.1%,1.5,1.9,82.8%,1.1,4.0,5.1,1.7,0.6,1.3,0.4,0.1,2.6,1.9,11.3,009680,"MORGAN, CONOR",30,https://media-cdn.incrowdsports.com/30e38f7a-559e-40ed-aeb0-3b1ba846b57d.png,WRO;LLI;BES,WKS;LDN;BJK,WKS Slask Wroclaw;London Lions;Besiktas Istanbul,https://media-cdn.incrowdsports.com/0415061b-5374-4a0d-bc04-8fcbc8ad0bb3.png;https://media-cdn.cortextech.io/102de468-9e41-4b8e-b44d-23bebb9e916f.png;https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png
76,41.0,9.0,20.20691056910569,9.8,2.7,5.0,54.4%,0.9,2.2,38.9%,1.8,2.2,80%,1.1,2.8,3.9,0.9,0.9,1.0,0.2,0.4,1.4,2.5,11.4,004525,"SALASH, MAKSIM",28,https://media-cdn.incrowdsports.com/3966cdb9-3fd6-4944-a9c9-cd50ffdfcf1b.png,BOU,JLB,JL Bourg,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png
77,40.0,32.0,27.06875,15.1,4.1,7.9,52.4%,1.5,5.4,27.5%,2.3,3.1,75%,0.4,2.1,2.4,2.6,1.0,2.1,0.1,0.2,2.4,3.3,11.4,011936,"MATHEWS, JONAH",26,https://media-cdn.incrowdsports.com/6e5002a2-5313-4940-bf0b-3f3ac7d7e44f.png,BES,BJK,Besiktas Istanbul,https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png
78,40.0,19.0,18.180416666666666,8.0,3.1,5.3,59.2%,0.0,0.1,50%,1.6,2.0,78.8%,1.7,3.3,5.0,1.4,0.9,1.3,0.0,0.3,1.5,1.8,11.4,008325,"KAMENJAS, KENAN",24,https://media-cdn.incrowdsports.com/3f329c72-567b-4e6f-8a12-6365d2a4b348.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
79,32.0,17.0,24.719791666666666,10.9,1.8,3.4,53.6%,1.5,4.0,37.8%,2.7,3.4,79.1%,0.4,2.4,2.8,2.2,0.8,1.3,0.2,0.2,2.1,2.9,11.5,005521,"VARNAS, MARTYNAS",27,https://media-cdn.incrowdsports.com/f965073c-9966-4358-8884-7c06d880cfdd.png,LKB,LIE,Lietkabelis Panevezys ,https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png
80,39.0,30.0,24.898717948717948,8.6,2.0,4.4,45.1%,0.8,3.0,25.9%,2.3,3.3,70.1%,0.8,3.2,4.0,3.8,1.4,2.2,0.2,0.4,2.3,4.1,11.6,009649,"PHILLIP, TARIK",31,https://media-cdn.incrowdsports.com/f964e5b5-ced6-4b26-a638-e27d2eec3082.png,LLI;JER;TSO,LDN;JLM;SOP,London Lions;Hapoel Jerusalem Basketball Club;Trefl Sopot,https://media-cdn.cortextech.io/102de468-9e41-4b8e-b44d-23bebb9e916f.png;https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png;https://media-cdn.incrowdsports.com/9ef7b3dd-9f80-4639-964d-9db4dfe436ee.png
81,36.0,21.0,23.119444444444444,11.0,3.0,6.4,47%,0.8,2.4,34.9%,2.4,2.9,83.8%,0.6,1.9,2.4,3.7,1.0,2.2,0.3,0.4,1.9,3.2,11.6,012606,"WRIGHT IV, MCKINLEY",26,https://media-cdn.incrowdsports.com/c1c17c4f-deb7-44c1-8593-ed9af8d5cdb9.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
82,61.0,59.0,24.29808743169399,10.3,1.4,2.6,53.8%,2.0,5.3,37.7%,1.6,2.0,82.5%,0.5,3.0,3.5,2.9,0.9,1.5,0.3,0.2,2.2,2.4,11.7,008121,"BRUSSINO, NICOLAS",31,https://media-cdn.incrowdsports.com/aba56008-559a-461e-b5a5-2edd7a1415a5.png,CAN,GCA,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
83,43.0,15.0,25.013565891472865,10.2,2.0,3.0,65.9%,1.3,4.0,34.1%,2.2,2.5,86.9%,0.5,2.8,3.3,3.6,0.7,2.2,0.1,0.2,2.0,2.3,11.8,011801,"RICHARD, PATRICK",34,https://media-cdn.incrowdsports.com/96d83dfb-1e1a-4e13-bd61-02dbbc5ad05f.png,CLU,UBT,U-BT Cluj-Napoca,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png
84,61.0,53.0,21.496174863387978,10.1,3.9,6.2,62.8%,0.0,0.1,0%,2.3,3.2,72.3%,1.7,2.3,4.0,0.5,0.2,0.9,1.0,0.3,2.2,2.7,11.8,011823,"ODIASE, TAI",29,https://media-cdn.incrowdsports.com/e97b5a09-3c83-4c09-8a48-f29714d5427f.png,BRE;PMT;BAH,BRE;PRM;BKS,Brescia Leonessa;Prometey Slobozhanske;Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/6e44327d-88cd-4060-a495-b5763dd981c3.png;https://media-cdn.incrowdsports.com/277839cf-b5b3-48be-bacf-a1291cee44cc.png;https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
85,37.0,15.0,18.94954954954955,8.8,3.5,5.2,67.9%,0.1,0.2,37.5%,1.4,1.8,79.1%,2.2,2.6,4.8,1.5,0.7,1.3,0.6,0.2,2.4,1.7,12.0,005373,"CATE, EMANUEL",26,https://media-cdn.incrowdsports.com/52c284eb-3355-4db3-8612-bfbed52ca954.png,CLU,UBT,U-BT Cluj-Napoca,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png
86,37.0,18.0,24.337387387387388,13.1,3.0,5.4,55.6%,1.5,4.3,35.4%,2.6,3.1,83.6%,1.4,3.0,4.4,1.5,0.6,1.4,0.4,0.4,3.1,2.6,12.1,012577,"THURMAN, TRE'SHAWN",29,https://media-cdn.incrowdsports.com/808d1e7c-37ed-4ac5-bd8e-8a1d948d56b6.png,WOL,WLV,BC Wolves Vilnius,https://media-cdn.incrowdsports.com/bab91c74-fc2e-4176-9db5-06f40e0e6759.png
87,35.0,14.0,22.65095238095238,9.0,2.5,4.9,51.7%,0.8,2.2,35.5%,1.6,2.7,57.9%,0.9,2.5,3.4,5.0,1.5,2.8,0.0,0.4,2.0,3.4,12.1,010106,"NUNEZ, JUAN",19,https://media-cdn.incrowdsports.com/a3c39833-77ab-42cc-926f-9601bada7623.png,ULM,ULM,ratiopharm Ulm,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png
88,34.0,13.0,21.51421568627451,12.0,2.6,4.3,59.6%,1.6,4.6,34.6%,2.1,2.4,88.8%,0.5,2.9,3.5,1.6,0.5,0.9,0.2,0.2,1.6,2.3,12.4,008052,"WILTJER, KYLE",32,https://media-cdn.incrowdsports.com/6d8afeb7-1750-4a0b-bf4c-69a4ad4fd655.png,VNC,URV,Umana Reyer Venice,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png
89,58.0,51.0,24.25862068965517,10.5,3.9,6.0,64.6%,0.5,1.7,29.7%,1.2,1.8,65.7%,1.7,3.5,5.2,1.4,0.9,1.1,0.1,0.4,2.1,2.0,12.4,010550,"GINAT, TOMER",30,https://media-cdn.incrowdsports.com/4ee7d2fa-8299-4522-be3e-cab3009c2a1f.png,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
90,34.0,17.0,19.903921568627453,7.7,3.1,5.5,55.6%,0.0,0.3,0%,1.6,2.5,63.5%,2.4,4.2,6.6,1.1,0.4,0.7,0.2,0.4,1.8,2.9,12.4,004222,"OMIC, ALEN",32,https://media-cdn.incrowdsports.com/9cd9219a-31f4-4e18-974a-512a9d9f1b47.png,LJU;BUD,COL;BUD,KK Cedevita Olimpija;KK Buducnost,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png;https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
