playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
62,52.0,14.272115384615384,55.5%,56.6%,3.1%,17.8%,10.3%,0.8,8%,9.9%,23.1%,55.7%,9.3%,6.0,012715,"MANEK, BRADY",26,https://media-cdn.incrowdsports.com/a71d0828-d073-452d-802b-7a82e66b4f1e.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
63,26.0,11.023076923076925,49.5%,53.8%,3.2%,12.2%,7.6%,1.9,19.2%,9.9%,26.5%,36.5%,28.4%,5.8,012709,"WALKER, KEMBA",33,https://media-cdn.incrowdsports.com/17e670bf-861d-4d2a-bca6-64f9590c04bd.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
64,42.0,9.91547619047619,59.6%,65.8%,11.1%,12.4%,11.8%,1.0,10.3%,10.3%,61.4%,4.6%,46.1%,4.2,005460,"HARRIS, ELIAS",35,https://media-cdn.incrowdsports.com/9b314836-f6c0-4676-bf3a-29f1f489a12a.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
65,30.0,12.865,60.3%,63.3%,11.3%,14.3%,12.8%,0.1,2.5%,18.4%,67.8%,3.2%,25.9%,5.3,009960,"POYTHRESS, ALEX",30,https://media-cdn.incrowdsports.com/569f97d4-5c6f-4b4b-90ae-d0f73d1b7b07.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
66,51.0,9.544771241830066,64.8%,67.9%,12.3%,17.1%,14.7%,0.6,8.3%,13.1%,60.9%,8.3%,31%,4.0,007639,"BRANKOVIC, DANKO",24,https://media-cdn.incrowdsports.com/62e22400-6f30-4a28-9288-8df658855669.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
67,62.0,14.981182795698926,56.1%,57.4%,9.5%,12.9%,11.2%,0.9,10%,10.7%,53.8%,19.2%,19.7%,4.4,011244,"DA SILVA, OSCAR",26,https://media-cdn.incrowdsports.com/415f34c0-6698-4640-b7cf-59edcf39a4bc.png,BAR;MUN,BAR;BAY,FC Barcelona;FC Bayern Munich,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
68,27.0,12.784567901234569,52.8%,54.3%,6.1%,14.5%,10.2%,2.5,22.7%,9.2%,32.7%,31.3%,14.4%,5.2,008232,"POKUSEVSKI, ALEKSEJ",23,https://media-cdn.incrowdsports.com/98214c1e-e8c1-4b78-b670-8e5c4780dc9a.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
69,35.0,13.293333333333333,51.3%,56.7%,2.9%,8.1%,5.6%,2.0,29.5%,14.5%,29%,20.1%,32.2%,6.7,011052,"MADAR, YAM",24,https://media-cdn.cortextech.io/126d85f2-b7cf-4c51-bbe7-bbb8fde2bf9f.png,ULK;MUN,FBB;BAY,Fenerbahce Beko Istanbul;FC Bayern Munich,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
70,31.0,13.605913978494625,59.1%,60%,11.3%,17%,14.2%,1.0,17.4%,16.6%,50.5%,7.5%,31.2%,4.3,010393,"PRADILLA, JAIME",22,https://media-cdn.incrowdsports.com/9c8c8d4f-31d8-4c05-bf26-60334b55cf5d.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
71,28.0,13.096428571428572,52%,60%,1.8%,9.2%,5.6%,1.2,12%,10%,33.4%,33.4%,38%,5.3,000956,"ANDJUSIC, DANILO",32,https://media-cdn.incrowdsports.com/09afdf60-b0bf-4e1a-808e-5c9387634da5.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
72,33.0,14.193939393939393,50.7%,52.4%,3.6%,10.7%,7.4%,2.4,23.1%,9.8%,40%,21.4%,21%,6.8,011247,"FELIZ, ANDRES",27,https://media-cdn.incrowdsports.com/add1b714-d177-4c67-a726-a283ec197f50.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
73,45.0,13.006296296296295,59.5%,60.1%,13.1%,14%,13.6%,0.6,9.9%,17.7%,59.4%,1%,44.8%,4.3,008072,"DIOP, KHALIFA",22,https://media-cdn.incrowdsports.com/d6e66036-8399-4488-9cf5-b8ead9a451c8.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
74,24.0,15.396527777777777,54.5%,56.4%,2%,11.1%,7%,5.8,31.5%,5.4%,3.6%,56.7%,10.4%,4.6,BMT,"FERNANDEZ, RUDY",38,https://media-cdn.incrowdsports.com/81ff9d74-1784-441e-addd-b9198bfdab15.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
75,61.0,16.420765027322403,51.8%,54%,1.6%,9.3%,5.5%,2.1,27%,12.6%,18.3%,38.7%,13.7%,8.0,007947,"VILDOZA, LUCA",29,https://media-cdn.incrowdsports.com/dad5b538-3cf2-44ca-992a-b79ed24f4918.png,PAN;OLY,PAO;OLY,Panathinaikos AKTOR Athens;Olympiacos Piraeus,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
76,56.0,14.380059523809523,43.4%,48%,6%,15%,10.5%,1.6,12.9%,8.2%,47.8%,24%,22.4%,7.9,011983,"BRAZDEIKIS, IGNAS",25,https://media-cdn.incrowdsports.com/a42240f4-090a-4427-8daf-ffc7e3006afb.png,OLY;ZAL,OLY;ZAL,Olympiacos Piraeus;Zalgiris Kaunas,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
77,73.0,17.532420091324198,45.3%,48.5%,1.9%,6.3%,4.2%,2.4,20.1%,8.3%,21.5%,44.7%,18.4%,10.4,TGB,"LLULL, SERGIO",37,https://media-cdn.incrowdsports.com/c0c0c586-9005-47a5-970d-86b57458701d.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
78,57.0,17.414912280701753,48.6%,51.2%,5.8%,10.8%,8.2%,1.6,23.7%,15.2%,28.8%,28.2%,16%,8.6,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
79,56.0,16.272321428571427,62.6%,63%,2.6%,11.6%,7.1%,2.6,22.3%,8.6%,33.6%,31.6%,13.7%,5.2,006509,"TONUT, STEFANO",31,https://media-cdn.incrowdsports.com/4fccbbc2-857f-4da1-9dab-fc44b47fe75f.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
80,64.0,17.13828125,60.6%,63.4%,4.9%,9.1%,7%,1.3,11.2%,8.6%,17.3%,57.3%,17%,5.4,003478,"ABRINES, ALEX",31,https://media-cdn.incrowdsports.com/47795ee0-c812-487a-be8a-67900a5ab8d5.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
81,36.0,13.665277777777778,58.5%,62.8%,14.1%,17.7%,15.9%,0.7,13.9%,20.4%,54.1%,0%,48.8%,4.2,007182,"BIRCH, KHEM",32,https://media-cdn.incrowdsports.com/9d120639-c1cf-48ed-b711-e57190c36fe7.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
