playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,price
56.0,25.0,5.0,15.460666666666668,4.8,1.8,2.8,65.2%,0.2,0.8,31.6%,0.5,0.8,68.4%,1.2,1.9,3.1,0.5,0.5,0.8,0.2,0.2,2.1,1.3,5.6,011244,"DA SILVA, OSCAR",26.0,https://media-cdn.incrowdsports.com/415f34c0-6698-4640-b7cf-59edcf39a4bc.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,"DANGUBIC, NEMANJA",,,,,,,4.8
34.0,28.0,10.0,12.549404761904762,3.8,1.0,1.5,65.9%,0.4,0.9,40%,0.8,1.0,82.1%,0.3,1.5,1.8,0.5,0.4,0.3,0.2,0.1,1.6,1.0,4.4,007960,"DAVIDOVAC, DEJAN",29.0,https://media-cdn.incrowdsports.com/7c9b47c4-d0ca-4827-bb68-3ad4f5d4e2c3.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,
133.0,33.0,17.0,18.717676767676767,9.9,2.8,5.4,51.4%,1.0,2.0,49.2%,1.4,2.4,59.5%,0.9,2.7,3.6,1.5,0.9,1.4,0.4,0.3,2.5,3.2,10.8,007870,"DAVIES, BRANDON",33.0,https://media-cdn.incrowdsports.com/81408ad9-aed4-4316-8d83-7f2f4eada6cf.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,
159.0,32.0,0.0,20.593229166666667,11.5,1.8,3.3,52.8%,1.7,4.5,38.5%,2.8,3.0,94.8%,0.3,1.4,1.7,4.5,0.8,2.3,0.0,0.4,1.6,3.4,13.1,002100,"DE COLO, NANDO",37.0,https://media-cdn.incrowdsports.com/168b2cb2-e32f-47b6-8a0f-c49fd080db79.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,12.4
,,,,,,,,,,,,,,,,,,,,,,,,,,"DE LARREA, SERGIO",,,,,,,6.5
108.0,28.0,15.0,23.37559523809524,8.0,2.2,3.6,61.8%,0.8,1.8,41.2%,1.2,1.9,65.4%,1.0,2.2,3.2,1.4,0.5,1.0,0.2,0.3,1.8,1.6,8.6,009005,"DECK, GABRIEL",29.0,https://media-cdn.incrowdsports.com/67bcca4b-c111-46c5-ab33-5776f7866d53.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,10.7
60.0,23.0,12.0,18.19855072463768,5.7,1.9,3.1,62%,0.4,2.0,19.6%,0.7,1.0,77.3%,1.0,1.7,2.7,1.6,0.8,0.7,0.2,0.3,2.6,1.5,5.9,008211,"DELOW, MALTE",23.0,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DESSERT, BRICE",,,,,,,7.6
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIAKITE, MAMADI",,,,,,,10.0
153.0,35.0,27.0,26.562380952380952,11.5,3.7,6.1,60.6%,0.9,2.1,44%,1.3,2.0,66.7%,1.5,2.5,4.0,1.7,1.0,1.2,0.3,0.4,3.0,2.5,12.2,011226,"DIALLO, ALPHA",27.0,https://media-cdn.incrowdsports.com/b80081ad-c850-47c6-9b59-132e98bbaf5b.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,10.8
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIALLO, HAMIDOU",,,,,,,10.5
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIARRA, ALIOU",,,,,,,9.8
48.0,33.0,6.0,17.421212121212122,5.2,0.2,0.6,33.3%,1.3,3.1,42.7%,0.7,0.8,88.9%,0.7,1.2,1.9,0.7,0.7,0.2,0.0,0.1,2.3,1.8,5.2,007990,"DIBARTOLOMEO, JOHN",33.0,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Playtika Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png,6.0
67.0,27.0,7.0,16.849382716049384,7.6,1.9,4.2,45.1%,0.7,2.8,23.7%,1.8,2.0,87.3%,0.3,1.3,1.6,2.9,0.4,1.5,0.0,0.2,1.2,1.8,6.5,006085,"DIMITRIJEVIC, NENO",26.0,https://media-cdn.incrowdsports.com/b73d9c63-2a0f-45be-bcfb-bab12c6e1043.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png,
58.0,32.0,11.0,14.4609375,4.1,1.8,2.8,62.9%,0.0,0.1,0%,0.6,1.1,52.8%,1.7,1.9,3.6,0.5,0.3,0.7,0.5,0.3,2.0,1.4,5.8,008072,"DIOP, KHALIFA",22.0,https://media-cdn.incrowdsports.com/d6e66036-8399-4488-9cf5-b8ead9a451c8.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,"DIOP, OUSMANE",,,,,,,5.2
97.0,31.0,10.0,15.853225806451611,6.2,2.1,3.5,60%,0.0,0.0,0%,2.0,2.8,70.1%,1.3,1.8,3.1,0.4,0.6,0.7,0.4,0.2,2.0,2.2,7.9,013374,"DIOUF, MOUHAMET",23.0,https://media-cdn.incrowdsports.com/992e479b-f532-4ef2-8717-0614e3acc259.png,VIR,VIR,Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png,7.3
