playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name
99,44.0,37.0,26.70909090909091,13.9,2.7,5.0,55%,2.0,4.7,42.3%,2.4,2.9,82.2%,0.3,2.7,3.1,3.2,1.1,1.9,0.1,0.4,2.2,3.0,14.3,007759,"MUNFORD, XAVIER"
100,44.0,40.0,28.910984848484848,14.4,3.1,5.6,55.9%,2.3,5.3,44%,1.2,1.5,77.6%,1.0,3.8,4.7,1.4,0.6,0.7,0.3,0.3,1.3,1.5,14.9,003840,"BOUTEILLE, AXEL"
101,37.0,29.0,26.777927927927927,14.8,3.2,5.9,53.9%,1.9,4.6,40.4%,2.9,4.1,69.3%,0.7,2.7,3.5,2.4,1.2,1.7,0.4,0.3,2.1,3.7,15.0,011834,"PALMER JR., JAMES"
102,36.0,26.0,25.20092592592593,11.7,3.2,5.6,56.7%,1.3,2.8,48%,1.4,1.9,71%,0.9,3.3,4.3,4.4,1.4,1.8,0.1,0.4,3.0,3.0,15.2,011247,"FELIZ, ANDRES"
103,31.0,5.0,20.58010752688172,12.4,4.6,6.5,70%,0.2,0.5,35.7%,2.7,3.9,70.8%,1.7,3.4,5.1,0.8,1.0,0.8,0.5,0.3,1.8,2.3,15.7,006835,"HOARD, JAYLEN"
104,54.0,34.0,22.212345679012348,11.8,4.8,8.6,55.4%,0.0,0.0,0%,2.3,3.3,69.4%,1.5,4.3,5.8,3.0,0.5,2.1,0.2,0.2,1.7,3.4,16.0,002507,"TOMIC, ANTE"
105,39.0,36.0,28.3482905982906,14.2,1.8,3.9,44.8%,2.0,5.3,38.2%,4.6,5.3,86.5%,0.3,1.7,2.0,5.5,1.3,2.6,0.0,0.7,2.5,5.3,16.4,012003,"COWAN JR, ANTHONY"
106,44.0,33.0,26.63409090909091,14.3,2.6,4.7,55.6%,2.0,5.5,37.1%,3.0,3.3,90.5%,0.3,2.0,2.3,4.3,0.9,1.8,0.0,0.2,1.8,4.2,16.4,011281,"FERRELL, YOGI"
107,37.0,37.0,27.437387387387385,10.0,3.8,5.8,65.9%,0.0,0.3,10%,2.3,3.2,71.4%,2.6,4.5,7.1,1.0,0.8,1.1,1.9,0.3,2.3,3.0,16.9,011973,"ALEXANDER, KYLE"
108,40.0,22.0,24.20083333333333,10.5,3.9,6.0,64.6%,0.2,0.5,38.1%,2.1,3.1,69.1%,2.8,5.2,8.0,1.9,0.6,1.6,1.0,0.4,2.1,3.0,17.6,002644,"BALVIN, ONDREJ"
109,34.0,33.0,31.42303921568628,16.9,3.8,7.5,50.8%,1.9,5.7,34.2%,3.5,4.3,80.8%,0.6,3.3,3.9,4.4,1.6,2.9,0.3,0.5,2.5,4.8,17.8,011925,"WALLACE, TYRONE"
