player.name,gamesPlayed,minutesPlayed,pointsScored,totalRebounds,assists,steals,blocks,turnovers,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage,pir,price
"PRADILLA, JAIME",61.0,13.485245901639344,3.6,2.7,0.7,0.4,0.1,0.7,58.7,35.5,52.6,4.2,10.1
,,,,,,,,,,,,,10.1
"GRANT, JERIAN",82.0,27.2260162601626,8.6,2.2,3.3,1.2,0.1,0.9,52.2,42.3,85.4,10.8,10.1
,,,,,,,,,,,,,10.0
"WILLIAMS-GOSS, NIGEL",93.0,20.601612903225806,8.4,2.0,2.9,0.8,0.0,1.5,49.1,38.9,80.1,7.9,10.0
,,,,,,,,,,,,,10.0
,,,,,,,,,,,,,10.0
,,,,,,,,,,,,,10.0
,,,,,,,,,,,,,10.0
,,,,,,,,,,,,,9.9
"KALINIC, NIKOLA",112.0,24.696875,7.5,3.7,2.2,0.8,0.1,1.4,52.0,41.5,66.5,9.1,9.9
,,,,,,,,,,,,,9.9
,,,,,,,,,,,,,9.8
"LO, MAODO",76.0,19.4015350877193,9.9,1.6,2.5,0.5,0.0,1.4,52.7,35.7,80.5,8.8,9.8
,,,,,,,,,,,,,9.8
,,,,,,,,,,,,,9.8
,,,,,,,,,,,,,9.8
"VILDOZA, LUCA",90.0,18.940740740740743,7.6,1.8,2.7,0.9,0.1,1.5,47.3,36.2,86.6,7.3,9.7
"WILBEKIN, SCOTTIE",67.0,23.96417910447761,12.1,2.0,3.0,1.0,0.0,1.5,45.9,38.6,82.4,11.4,9.7
,,,,,,,,,,,,,9.7
"HOWARD, MARKUS",104.0,22.02451923076924,15.5,1.3,1.4,0.5,0.0,1.6,46.8,37.3,85.6,8.7,9.6
"MADAR, YAM",73.0,13.351141552511416,5.1,1.2,1.8,0.6,0.2,0.9,54.0,32.2,85.7,4.9,9.6
,,,,,,,,,,,,,9.6
"MELLI, NICOLO",104.0,22.08301282051282,6.6,4.4,1.5,0.8,0.4,1.0,56.4,37.4,61.7,9.1,9.5
,,,,,,,,,,,,,9.5
,,,,,,,,,,,,,9.5
,,,,,,,,,,,,,9.5
"LOPEZ-AROSTEGUI, XABI",56.0,17.716369047619047,5.9,3.2,1.2,0.6,0.0,1.3,49.7,31.9,86.2,7.0,9.4
,,,,,,,,,,,,,9.4
