playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocks_against,personal_fouls,fouls_drawn,pir,player.code,player_name,age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl,base_fantasy_points,fantasy_points,fantasy_per_minute,captain_score,captain_fantasy_points,estimated_position,defensive_score
56,23.0,7.0,13.434782608695652,6.9,1.3,2.8,47.7%,1.0,2.4,39.3%,1.3,1.6,81.1%,0.1,1.0,1.1,1.8,0.8,2.0,0.1,0.3,2.2,1.3,4.3,012787,"SUMNER, EDMOND",28,https://media-cdn.incrowdsports.com/f65b5cf1-6f7a-40c9-9100-5780c575e3dd.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,7.500000000000002,7.500000000000002,0.5582524271844661,10.4268115942029,15.000000000000004,Guard,0.9
57,33.0,4.0,17.85959595959596,6.4,1.3,2.8,46.2%,1.1,2.9,38.1%,0.5,0.7,68.2%,0.5,1.0,1.5,1.7,0.4,1.0,0.1,0.3,2.1,1.1,4.3,003211,"DIMSA, TOMAS",29,https://media-cdn.incrowdsports.com/f5a9303d-e74d-4955-8a7a-30ac7ec50c2c.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,7.8,7.8,0.4367400033934732,12.745959595959597,15.6,Guard,0.5
58,34.0,12.0,16.351470588235294,5.2,1.6,3.4,48.3%,0.4,1.1,41.7%,0.6,1.0,57.1%,0.3,1.4,1.6,1.6,1.1,1.1,0.2,0.4,2.4,1.3,4.4,013371,"HARRISON, SHAQUILLE",31,https://media-cdn.incrowdsports.com/d7172f56-4fad-490c-a0f5-cc2ac64a2ca9.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,7.1,7.1,0.4342117096861228,12.271813725490196,14.2,Guard,1.3
59,23.0,11.0,13.681884057971017,4.4,1.0,2.0,50%,0.5,1.9,27.9%,0.9,1.1,80%,0.8,1.7,2.5,0.7,0.4,0.5,0.2,0.1,1.5,0.8,4.4,013365,"BROWN, VITTO",29,https://media-cdn.incrowdsports.com/61800a63-45e8-44d5-9fce-9c519cc590e4.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,6.9,6.9,0.504316508659499,10.031521739130437,13.8,Forward,0.6000000000000001
60,39.0,4.0,14.16153846153846,5.4,1.5,2.8,55.6%,0.4,1.5,27.1%,1.1,1.6,70.5%,1.0,0.8,1.7,0.7,0.9,0.5,0.5,0.2,2.5,1.2,4.5,012744,"CLEVELAND, ANTONIUS",29,https://media-cdn.incrowdsports.com/ff56c399-8c7a-4744-9abc-7105f666168e.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png,7.2,7.2,0.5084193373166758,12.956153846153846,14.4,Forward,1.4
61,32.0,0.0,15.1984375,4.4,0.7,1.8,35.6%,1.0,2.7,35.6%,0.2,0.2,87.5%,0.1,1.2,1.4,4.2,0.5,1.5,0.0,0.0,2.2,0.8,4.5,CVM,"RODRIGUEZ, SERGIO",37,https://media-cdn.incrowdsports.com/d605b7e7-d619-4620-93b1-5979b22592bc.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,7.6000000000000005,7.6000000000000005,0.5000514033103732,12.173177083333332,15.200000000000001,Guard,0.5
62,52.0,17.0,14.272115384615384,5.6,0.6,1.4,45.8%,1.3,3.3,39.7%,0.3,0.4,73.9%,0.4,2.0,2.4,0.5,0.4,0.6,0.1,0.1,1.4,0.7,4.6,012715,"MANEK, BRADY",26,https://media-cdn.incrowdsports.com/a71d0828-d073-452d-802b-7a82e66b4f1e.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,7.6,7.6,0.532506905612073,15.413878205128206,15.2,Forward,0.5
63,26.0,1.0,11.023076923076925,4.4,0.7,1.5,42.5%,0.8,2.1,36.4%,0.8,1.0,77.8%,0.3,1.1,1.4,1.1,0.4,0.6,0.0,0.2,0.9,1.3,4.6,012709,"WALKER, KEMBA",33,https://media-cdn.incrowdsports.com/17e670bf-861d-4d2a-bca6-64f9590c04bd.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,6.900000000000001,6.900000000000001,0.6259595254710398,10.265641025641026,13.800000000000002,Forward,0.4
64,42.0,5.0,9.91547619047619,4.3,1.5,2.5,59.8%,0.1,0.2,37.5%,1.1,1.3,84.9%,0.9,1.0,1.9,0.4,0.2,0.4,0.0,0.2,1.3,1.1,4.6,005460,"HARRIS, ELIAS",35,https://media-cdn.incrowdsports.com/9b314836-f6c0-4676-bf3a-29f1f489a12a.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,6.0,6.0,0.605114659623004,12.191547619047618,12.0,Forward,0.2
65,30.0,9.0,12.865,5.3,2.2,3.6,61.7%,0.0,0.2,20%,0.8,1.0,79.3%,1.2,1.5,2.7,0.1,0.3,1.0,0.4,0.2,2.5,1.3,4.7,009960,"POYTHRESS, ALEX",30,https://media-cdn.incrowdsports.com/569f97d4-5c6f-4b4b-90ae-d0f73d1b7b07.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,6.400000000000001,6.400000000000001,0.4974737660318695,10.7665,12.800000000000002,Forward,0.7
66,51.0,6.0,9.544771241830066,4.3,1.6,2.5,66.4%,0.1,0.3,35.3%,0.7,0.9,79.5%,1.0,1.3,2.3,0.3,0.3,0.5,0.5,0.1,1.9,0.7,4.7,007639,"BRANKOVIC, DANKO",24,https://media-cdn.incrowdsports.com/62e22400-6f30-4a28-9288-8df658855669.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,5.899999999999999,5.899999999999999,0.6181394871092545,13.584477124183005,11.799999999999997,Forward,0.8
68,27.0,7.0,12.784567901234569,3.9,1.0,1.7,60.9%,0.5,1.6,29.5%,0.3,0.5,69.2%,0.7,1.5,2.2,1.2,0.6,0.5,1.0,0.0,2.1,0.6,4.7,008232,"POKUSEVSKI, ALEKSEJ",23,https://media-cdn.incrowdsports.com/98214c1e-e8c1-4b78-b670-8e5c4780dc9a.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,6.899999999999999,6.899999999999999,0.5397131958862439,10.608456790123455,13.799999999999997,Forward,1.6
70,31.0,7.0,13.605913978494623,3.4,1.3,2.2,61.2%,0.1,0.3,30%,0.5,0.8,58.3%,1.3,2.0,3.3,0.7,0.5,0.7,0.0,0.2,1.7,0.8,4.8,010393,"PRADILLA, JAIME",22,https://media-cdn.incrowdsports.com/9c8c8d4f-31d8-4c05-bf26-60334b55cf5d.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,6.099999999999999,6.099999999999999,0.44833445291816487,10.797258064516129,12.199999999999998,Forward,0.5
71,28.0,3.0,13.096428571428572,5.0,0.8,1.8,44%,0.7,1.8,40%,1.3,1.4,94.7%,0.2,1.0,1.1,0.6,0.2,0.5,0.1,0.1,1.1,1.6,4.8,000956,"ANDJUSIC, DANILO",32,https://media-cdn.incrowdsports.com/09afdf60-b0bf-4e1a-808e-5c9387634da5.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,6.9,6.9,0.5268611944368694,10.806309523809524,13.8,Forward,0.30000000000000004
72,33.0,5.0,14.193939393939392,4.8,1.5,2.7,54.4%,0.4,1.5,29.2%,0.5,0.9,62.1%,0.4,1.4,1.8,1.6,0.7,0.7,0.1,0.3,2.1,1.5,4.8,011247,"FELIZ, ANDRES",27,https://media-cdn.incrowdsports.com/add1b714-d177-4c67-a726-a283ec197f50.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,7.3999999999999995,7.3999999999999995,0.5213492741246798,12.09939393939394,14.799999999999999,Guard,0.7999999999999999
73,45.0,12.0,13.006296296296297,3.7,1.5,2.5,60.5%,0.0,0.0,0%,0.6,1.2,55.8%,1.5,1.6,3.1,0.4,0.3,0.8,0.4,0.2,1.9,1.3,4.9,008072,"DIOP, KHALIFA",22,https://media-cdn.incrowdsports.com/d6e66036-8399-4488-9cf5-b8ead9a451c8.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png,6.3,6.3,0.4843807842355554,13.21062962962963,12.6,Forward,0.7
74,24.0,0.0,15.396527777777775,3.3,0.1,0.2,50%,1.0,2.6,36.5%,0.2,0.3,85.7%,0.2,1.6,1.9,1.5,0.9,0.2,0.0,0.0,1.3,0.7,4.9,BMT,"FERNANDEZ, RUDY",38,https://media-cdn.incrowdsports.com/81ff9d74-1784-441e-addd-b9198bfdab15.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,6.8,6.8,0.44165802174011104,10.299652777777776,13.6,Guard,0.9
77,73.0,5.0,17.532420091324198,7.2,0.9,2.2,41.7%,1.5,4.6,31.4%,1.0,1.3,77.2%,0.3,1.0,1.3,2.1,0.3,0.9,0.0,0.1,1.5,1.4,5.1,TGB,"LLULL, SERGIO",37,https://media-cdn.incrowdsports.com/c0c0c586-9005-47a5-970d-86b57458701d.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png,9.8,9.8,0.5589644754661945,20.77990867579909,19.6,Guard,0.3
78,57.0,20.0,17.414912280701753,5.4,1.4,2.5,54.9%,0.7,2.4,28.1%,0.6,0.8,77.8%,0.9,1.5,2.4,2.1,0.8,1.3,0.1,0.2,2.4,1.3,5.2,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png,8.200000000000001,8.200000000000001,0.470860827079031,16.981491228070176,16.400000000000002,Guard,0.9
79,56.0,13.0,16.272321428571427,4.5,0.9,1.8,54.1%,0.8,1.6,47.8%,0.3,0.5,61.5%,0.3,1.5,1.9,1.2,0.5,0.4,0.1,0.2,1.3,0.8,5.2,006509,"TONUT, STEFANO",31,https://media-cdn.incrowdsports.com/4fccbbc2-857f-4da1-9dab-fc44b47fe75f.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,7.100000000000001,7.100000000000001,0.43632373113854606,15.930565476190477,14.200000000000003,Forward,0.6
80,64.0,21.0,17.13828125,5.5,0.5,0.9,56.7%,1.3,3.1,41.2%,0.6,0.7,88.6%,0.7,1.3,2.0,0.6,0.5,0.5,0.2,0.0,2.3,1.4,5.2,003478,"ABRINES, ALEX",31,https://media-cdn.incrowdsports.com/47795ee0-c812-487a-be8a-67900a5ab8d5.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,7.3999999999999995,7.3999999999999995,0.43178192095546336,17.560494791666667,14.799999999999999,Forward,0.7
81,36.0,19.0,13.665277777777778,3.5,1.3,2.3,58.5%,0.0,0.0,0%,0.8,1.1,72.5%,1.6,2.0,3.7,0.6,0.4,0.9,0.4,0.0,2.3,1.1,5.2,007182,"BIRCH, KHEM",32,https://media-cdn.incrowdsports.com/9d120639-c1cf-48ed-b711-e57190c36fe7.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,6.499999999999999,6.499999999999999,0.4756580953348917,11.916527777777777,12.999999999999998,Center,0.8
82,62.0,14.0,16.186290322580643,5.0,0.3,0.7,37%,1.2,3.0,41.2%,0.7,0.8,93.6%,0.7,1.2,1.9,0.9,0.7,0.4,0.0,0.1,2.0,1.6,5.4,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png,7.6,7.6,0.4695331572916148,17.271962365591396,15.2,Forward,0.7
83,59.0,22.0,16.095197740112994,4.5,1.0,1.6,60.4%,0.6,1.6,38.7%,0.7,0.9,78.4%,0.4,2.0,2.4,0.6,0.5,0.4,0.3,0.1,1.5,1.1,5.5,007960,"DAVIDOVAC, DEJAN",29,https://media-cdn.incrowdsports.com/7c9b47c4-d0ca-4827-bb68-3ad4f5d4e2c3.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,7.4,7.4,0.45976446636362045,16.622853107344632,14.8,Forward,0.8
