playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,league
24,61.0,14.0,12.465573770491805,4.8,1.3,2.1,60.5%,0.7,1.9,35.4%,0.3,0.3,76.2%,1.0,1.6,2.6,0.4,0.2,0.5,0.3,0.1,1.7,0.5,4.4,008966,"TOBEY, MIKE",EuroLeague
25,78.0,25.0,11.873290598290598,4.1,0.8,1.2,67.4%,0.7,1.8,36.4%,0.6,0.7,74.1%,0.7,1.7,2.4,0.6,0.3,0.4,0.2,0.0,1.6,0.6,4.5,004790,"CORNELIE, PETR",EuroLeague
26,82.0,24.0,16.47012195121951,5.0,1.3,2.2,57.1%,0.6,2.2,29.9%,0.5,0.6,75%,0.8,1.5,2.3,1.7,0.7,1.2,0.1,0.2,2.3,1.0,4.5,008211,"DELOW, MALTE",EuroLeague
27,82.0,38.0,13.777235772357724,3.3,1.5,2.8,52.6%,0.0,0.0,0%,0.4,0.9,45.7%,1.6,2.1,3.8,0.4,0.5,0.9,0.7,0.3,2.5,1.3,4.5,011941,"GILLESPIE, FREDDIE",EuroLeague
28,104.0,53.0,14.205448717948716,5.5,1.4,2.5,58.4%,0.6,1.9,31.8%,0.8,1.0,80.8%,0.8,1.7,2.5,0.7,0.3,0.7,0.4,0.1,2.6,1.1,4.6,002968,"SANLI, SERTAC",EuroLeague
29,52.0,17.0,14.272115384615384,5.6,0.6,1.4,45.8%,1.3,3.3,39.7%,0.3,0.4,73.9%,0.4,2.0,2.4,0.5,0.4,0.6,0.1,0.1,1.4,0.7,4.6,012715,"MANEK, BRADY",EuroLeague
30,82.0,19.0,16.634349593495934,5.2,1.0,1.9,51.9%,0.9,2.0,45.6%,0.6,0.7,83.6%,0.6,1.4,2.0,0.7,0.4,0.5,0.1,0.1,2.0,1.0,4.7,001557,"GIFFEY, NIELS",EuroLeague
31,51.0,6.0,9.544771241830066,4.3,1.6,2.5,66.4%,0.1,0.3,35.3%,0.7,0.9,79.5%,1.0,1.3,2.3,0.3,0.3,0.5,0.5,0.1,1.9,0.7,4.7,007639,"BRANKOVIC, DANKO",EuroLeague
32,73.0,28.0,13.351141552511416,5.1,1.3,2.4,54%,0.5,1.6,32.2%,0.9,1.1,85.7%,0.3,0.8,1.2,1.8,0.6,0.9,0.2,0.1,1.7,1.2,4.9,011052,"MADAR, YAM",EuroLeague
33,87.0,47.0,15.964942528735632,4.3,0.7,1.4,52.5%,0.8,1.9,40.2%,0.5,0.7,79.3%,0.4,1.8,2.1,1.4,0.4,0.4,0.0,0.1,1.6,0.6,4.9,003733,"ABALDE, ALBERTO",EuroLeague
