playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
149,17.0,20.04019607843137,58.3%,62.5%,1.8%,13.9%,8.2%,0.6,6.8%,11.3%,32.5%,38.4%,35.7%,13.0,013402,"BLAKENEY, ANTONIO",28,https://media-cdn.cortextech.io/fb4c7a65-6933-4bf9-b2ba-e60c65f8ae0e.png,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
150,19.0,25.306140350877193,48%,58.4%,1%,9.7%,5.4%,1.4,16.7%,12.2%,23.1%,33.4%,59.1%,16.4,011248,"ANDREWS, ANDREW",31,https://media-cdn.incrowdsports.com/43792c0f-d229-4b7d-bc7c-ab407eab5f77.png,WOL,WLV,BC Wolves Vilnius,https://media-cdn.incrowdsports.com/bab91c74-fc2e-4176-9db5-06f40e0e6759.png
151,22.0,18.456060606060607,66.9%,67.5%,7.6%,16.8%,12.4%,1.4,11.1%,7.7%,36.7%,37.7%,20.8%,9.4,010444,"COSTELLO, MATTHEW",31,https://media-cdn.incrowdsports.com/cca68c8b-f1c3-4502-bb2f-f84e76c4a6ee.png,PAM,VBC,Valencia Basket,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png
152,19.0,28.74298245614035,48.9%,51.7%,1.8%,14.5%,8%,2.2,17.6%,7.9%,31.3%,36.8%,21%,17.3,011150,"SULAIMON, RASHEED",30,https://media-cdn.incrowdsports.com/14132571-dae3-45d3-ac2b-789b9ce262e2.png,BUD,BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
153,25.0,20.768666666666668,60.4%,63.8%,10%,21.2%,15.8%,2.1,14.7%,6.9%,55.8%,15.1%,23.8%,9.2,008966,"TOBEY, MIKE",30,https://media-cdn.incrowdsports.com/d7471c9c-c1f2-4ca9-88a6-3c3ddccc597a.png,CAN,DGC,Club Baloncesto Gran Canaria,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png
153,20.0,21.482499999999998,61.4%,61.2%,11.7%,22.1%,17.1%,0.6,9.2%,16.6%,66.9%,0%,24.8%,10.8,013304,"HANKINS, ZACH",28,https://media-cdn.incrowdsports.com/19e957cb-0639-49a0-9550-0811f8517b1c.png,CLU,UBT,U-BT Cluj-Napoca,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png
155,18.0,26.078703703703706,53.4%,59.9%,1.2%,11%,5.9%,2.4,19.4%,8.3%,26%,35.1%,41.9%,13.5,005521,"VARNAS, MARTYNAS",27,https://media-cdn.incrowdsports.com/f965073c-9966-4358-8884-7c06d880cfdd.png,LKB,LIE,Lietkabelis Panevezys ,https://media-cdn.incrowdsports.com/dc1684fc-b1ad-494f-a7ed-54f5998fcb36.png
156,20.0,22.6475,54%,59.5%,8.1%,15.2%,11.9%,0.5,7.3%,15.8%,50%,16.7%,34.8%,12.3,011935,"MAKOUNDOU, YOAN",24,https://media-cdn.incrowdsports.com/339d1169-e99e-4cfa-bcf3-b217af9b91bb.png,TTK,TTA,Turk Telekom Ankara,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png
157,17.0,21.856862745098038,54.5%,56.8%,3.8%,8.8%,6.1%,3.2,36.1%,11.2%,36.1%,12.4%,19%,14.7,010449,"BENITEZ, HUGO",23,https://media-cdn.incrowdsports.com/092c8d48-2cd4-46c3-9173-4f45f8048c3f.png,BOU,JLB,JL Bourg,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png
158,15.0,19.57888888888889,57.2%,61%,2.3%,11.4%,7.1%,1.9,28.7%,15.4%,30.4%,20.1%,23.7%,15.6,010568,"JONES, CHRIS",31,https://media-cdn.incrowdsports.com/7cbec5f6-7aa3-49d1-8db1-7dc304a70c37.png,PAM,VBC,Valencia Basket,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png
159,18.0,22.90277777777778,55.4%,60.8%,5.4%,15.6%,10.2%,0.8,8.8%,10.8%,43.7%,24.6%,40.3%,11.3,004525,"SALASH, MAKSIM",28,https://media-cdn.incrowdsports.com/3966cdb9-3fd6-4944-a9c9-cd50ffdfcf1b.png,BOU,JLB,JL Bourg,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png
160,17.0,25.662745098039213,44.6%,52.6%,0.9%,6%,3.3%,1.6,20%,12.2%,30.5%,24.3%,54%,18.9,013266,"CASTANEDA, XAVIER",24,https://media-cdn.incrowdsports.com/6493fe4c-ce48-4d65-b9cd-fdf35df60a7b.png,BOU,JLB,JL Bourg,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png
161,22.0,26.703787878787878,56.6%,61.6%,7.4%,18.9%,13.3%,1.6,11.9%,7.6%,41%,28.1%,37.2%,9.5,009601,"CAVANAUGH, TYLER",30,https://media-cdn.incrowdsports.com/ff548afd-fec5-46b4-b6ce-3944a5342d1e.png,BAH,BKS,Bahcesehir Koleji Istanbul,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png
