playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
92,70.0,48.0,17.545714285714286,4.3,1.8,2.9,62.7%,0.0,0.1,25%,0.6,1.1,55.1%,1.6,1.9,3.5,0.9,0.6,0.6,0.6,0.1,2.7,1.2,6.1,003048,"DUNSTON, BRYANT",38,https://media-cdn.incrowdsports.com/c611afbb-f77f-4214-81fc-f08a742cd326.png,VIR;ZAL,VIR;ZAL,Virtus Bologna;Zalgiris Kaunas,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
93,65.0,34.0,18.59307692307692,10.4,1.5,3.4,44.4%,1.9,5.2,35.6%,1.8,2.1,85.4%,0.1,1.0,1.1,1.3,0.4,1.0,0.0,0.2,1.8,1.4,6.1,BCN,"BELINELLI, MARCO",38,https://media-cdn.incrowdsports.com/95f413de-ce11-4fe1-916a-3984551ceba7.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
94,32.0,3.0,15.011979166666666,7.6,1.0,2.2,45.8%,1.6,3.8,41.3%,0.9,0.9,96.6%,0.4,1.6,2.0,0.8,0.5,0.5,0.1,0.2,1.4,0.7,6.1,013384,"BROOKS, ARMONI",26,https://media-cdn.incrowdsports.com/aad0e402-ea32-4e04-8741-f488f652c9c1.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
95,25.0,6.0,16.416666666666668,5.1,1.4,2.3,58.6%,0.5,2.1,25%,0.8,1.0,83.3%,0.9,2.4,3.2,0.9,0.4,0.9,0.0,0.2,1.4,1.7,6.2,005356,"LOPEZ-AROSTEGUI, XABI",26,https://media-cdn.incrowdsports.com/8d108cea-6042-4ca0-b952-d7885a06a3f3.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
96,55.0,23.0,21.563939393939393,4.7,0.8,1.5,53.7%,0.7,1.9,38.3%,0.8,1.1,72.6%,0.9,2.7,3.5,1.1,0.9,0.8,0.2,0.2,2.5,1.6,6.2,002676,"BUTKEVICIUS, ARNAS",32,https://media-cdn.incrowdsports.com/b080f644-df17-416a-b647-cb2fae3f3fd1.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
97,68.0,7.0,16.20122549019608,8.0,1.7,3.3,51.6%,1.3,3.1,41.1%,0.7,0.9,78.3%,0.3,0.9,1.2,1.9,0.3,1.1,0.1,0.2,1.8,1.4,6.2,009992,"BRIZUELA, DARIO",30,https://media-cdn.incrowdsports.com/ff80e53b-0a60-416b-aa0a-3435c3ddb3d1.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
98,58.0,20.0,21.895114942528735,9.2,0.5,1.2,41.8%,2.6,6.1,42%,0.5,0.7,75.6%,0.3,1.4,1.7,1.2,0.4,0.9,0.0,0.2,1.8,1.1,6.4,004508,"OBST, ANDREAS",28,https://media-cdn.incrowdsports.com/0c5a2349-762c-406c-9bb0-c7ef1a0dbe47.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
99,25.0,13.0,21.412,7.1,2.0,4.6,43%,0.8,2.6,30.3%,0.8,1.0,80%,0.2,1.5,1.7,3.7,0.9,0.9,0.2,0.2,2.4,1.0,6.4,012597,"BALDWIN, KAMAR",27,https://media-cdn.incrowdsports.com/f7283ab4-069e-4ef3-84eb-a68bdc6936ac.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
100,52.0,25.0,15.832692307692307,4.5,1.1,2.1,52.8%,0.5,1.6,32.5%,0.7,0.8,92.7%,1.0,2.0,3.0,0.9,0.4,0.4,0.1,0.1,1.0,1.1,6.4,010560,"PIERRE, DYSHAWN",31,https://media-cdn.incrowdsports.com/7f04a6d9-d458-47c5-a453-b089904b8992.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
101,27.0,7.0,16.849382716049384,7.6,1.9,4.2,45.1%,0.7,2.8,23.7%,1.8,2.0,87.3%,0.3,1.3,1.6,2.9,0.4,1.5,0.0,0.2,1.2,1.8,6.5,006085,"DIMITRIJEVIC, NENO",26,https://media-cdn.incrowdsports.com/b73d9c63-2a0f-45be-bcfb-bab12c6e1043.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
