playerRanking,games_played,gamesStarted,minutes,points,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,turnovers,blocks,blocksAgainst,personal_fouls,foulsDrawn,pir,player.code,player_name,player.age,player.imageUrl,team,player.team.tvCodes,team_name,player.team.imageUrl
456,37.0,14.0,14.323423423423424,6.4,2.7,4.2,64.1%,0.0,0.1,25%,0.9,1.5,62.5%,1.4,2.3,3.7,0.7,0.5,0.7,1.3,0.2,2.0,1.6,9.1,001335,"JAMES, SHAWN",32,,TEL;MIL;OLY,MAC;EA7;OLY,Maccabi Playtika Tel Aviv;EA7 Emporio Armani Milan;Olympiacos Piraeus,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
457,53.0,33.0,16.160377358490567,6.9,2.7,4.0,68.6%,0.0,0.0,0%,1.5,2.7,55.6%,1.4,2.3,3.6,0.3,0.4,0.8,0.6,0.3,1.9,2.7,9.1,001228,"KAUN, SASHA",29,,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
458,30.0,7.0,22.21333333333333,11.1,2.0,4.4,44.7%,2.1,4.8,44.1%,0.8,0.9,85.2%,0.4,1.3,1.7,2.3,0.9,1.4,0.0,0.3,1.6,1.7,9.1,005002,"SMITH, JAMAR",28,,BAM;LMG;MAL,BRO;LIM;UNI,Bamberger Basketball GmbH;Limoges Cercle Saint-Pierre;Unicaja Malaga,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png;https://media-cdn.incrowdsports.com/bb6b25c9-7720-4603-96c8-f5f6205e8a19.png;https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png
459,124.0,83.0,19.22244623655914,6.6,2.7,4.3,61.8%,0.0,0.1,36.4%,1.2,1.6,73.1%,1.5,3.5,5.0,0.6,0.7,1.0,0.7,0.1,2.7,1.6,9.1,AHW,"MARCONATO, DENIS",40,,TRE;BAR;SIE;CTU;SAS,TRE;FCB;MPS;CTU;DSS,Benetton Basket Treviso;FC Barcelona;Montepaschi Siena;Pallacanestro Cantu;Polisportiva Dinamo,https://media-cdn.incrowdsports.com/0636c1b0-de3e-4ca9-bd2c-e30a4f485114.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png;https://media-cdn.incrowdsports.com/17abff29-6978-4f75-9bbe-2e6171bb856f.png;https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png
460,82.0,64.0,28.96991869918699,11.7,1.9,4.1,45.6%,2.2,5.7,38%,1.5,2.1,72.8%,0.3,1.9,2.1,2.3,0.8,1.7,0.1,0.2,1.8,2.1,9.2,KNG,"NICHOLAS, DREW",31,,TRE;IST;PAN;MIL;CSK,TRE;EFS;PAO;EA7;CSK,Benetton Basket Treviso;Anadolu Efes Istanbul;Panathinaikos AKTOR Athens;EA7 Emporio Armani Milan;CSKA Moscow,https://media-cdn.incrowdsports.com/0636c1b0-de3e-4ca9-bd2c-e30a4f485114.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
461,78.0,45.0,23.46068376068376,10.9,2.1,5.0,42.6%,1.5,4.5,34.1%,2.1,2.4,87%,0.3,1.3,1.6,3.8,0.8,2.2,0.1,0.6,2.0,2.9,9.2,003367,"RICE, TYRESE",32,https://media-cdn.incrowdsports.com/adaff847-6d43-4afd-8908-1444bfaf8534.png,TEL;KHI;BAR;PAN,MAC;KHI;FCB;PAO,Maccabi Playtika Tel Aviv;BC Khimki;FC Barcelona;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
462,30.0,29.0,28.548333333333336,8.9,2.0,4.7,42.1%,1.2,3.3,36%,1.4,1.5,91.1%,0.4,2.7,3.1,4.6,0.6,2.4,0.1,0.3,2.5,2.1,9.2,000218,"KOSZAREK, LUKASZ",31,,SOP;GSS,PRO;ZGA,Arka Gdynia;GSS Akcyjna,https://media-cdn.incrowdsports.com/210fa2fa-3529-400d-8d3f-9174a22ad1a8.png;https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png
463,299.0,237.0,25.074136008918618,7.3,1.8,3.6,49.3%,0.7,1.8,36.3%,1.8,2.2,82%,1.1,2.2,3.3,2.0,0.6,1.2,0.1,0.2,2.1,2.7,9.2,002329,"ULANOVAS, EDGARAS",32,https://media-cdn.incrowdsports.com/474ff5fa-5ca2-47af-b70e-ac3960884a01.png,ULK;ZAL,FNB;ZAL,Fenerbahce Beko Istanbul;Zalgiris Kaunas,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
464,135.0,71.0,21.230864197530863,8.5,1.9,3.6,54.2%,1.1,2.8,38.9%,1.5,1.8,81.7%,0.7,2.1,2.7,1.7,0.5,1.2,0.0,0.2,1.4,2.3,9.3,000518,"SAN EMETERIO, FERNANDO",39,https://media-cdn.incrowdsports.com/2ce687fb-3972-4e93-b27c-ea520053c228.png,BAS;PAM,LBO;VBC,Baskonia Vitoria-Gasteiz;Valencia Basket,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
465,48.0,18.0,17.20763888888889,7.5,3.1,5.5,57.6%,0.0,0.0,0%,1.2,1.8,68.2%,1.9,3.0,4.9,0.9,0.5,0.9,0.6,0.3,2.9,1.9,9.3,002833,"HENDRIX, RICHARD",29,,TEL;MIL;TIV;MAL,MAC;EAM;LOK;UNI,Maccabi Playtika Tel Aviv;EA7 Emporio Armani Milan;Lokomotiv Kuban;Unicaja Malaga,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/10d99d78-4206-411d-83d2-db7abc63c6ae.png;https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png
