playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
22,80.0,34.0,16.644375,4.6,1.0,2.2,47.7%,0.6,1.7,37.3%,0.6,0.9,69.4%,0.4,1.4,1.8,0.7,0.4,0.6,0.2,0.1,1.4,1.1,4.2,005161,"PAPAPETROU, IOANNIS",30,https://media-cdn.incrowdsports.com/34435fbb-b543-4cdd-84f6-62cf44448c88.png,PAR;PAN,PAR;PAO,Partizan Mozzart Bet Belgrade;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
23,90.0,66.0,19.55462962962963,5.2,1.1,2.5,44.7%,0.7,1.8,39.8%,0.8,1.0,73.9%,0.5,1.4,1.9,1.2,0.6,0.8,0.0,0.2,2.1,1.3,4.3,003526,"LIGHTY, DAVID",36,https://media-cdn.incrowdsports.com/a326204a-16c3-4f08-b1b4-4369f192a50f.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
24,61.0,14.0,12.465573770491803,4.8,1.3,2.1,60.5%,0.7,1.9,35.4%,0.3,0.3,76.2%,1.0,1.6,2.6,0.4,0.2,0.5,0.3,0.1,1.7,0.5,4.4,008966,"TOBEY, MIKE",29,https://media-cdn.incrowdsports.com/d7471c9c-c1f2-4ca9-88a6-3c3ddccc597a.png,BAR;RED,BAR;CZV,FC Barcelona;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
25,78.0,25.0,11.873290598290598,4.1,0.8,1.2,67.4%,0.7,1.8,36.4%,0.6,0.7,74.1%,0.7,1.7,2.4,0.6,0.3,0.4,0.2,0.0,1.6,0.6,4.5,004790,"CORNELIE, PETR",29,https://media-cdn.incrowdsports.com/1330e8d5-1022-47e2-8b03-86a512d8f561.png,MAD;MCO,RMB;ASM,Real Madrid;AS Monaco,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
26,82.0,24.0,16.47012195121951,5.0,1.3,2.2,57.1%,0.6,2.2,29.9%,0.5,0.6,75%,0.8,1.5,2.3,1.7,0.7,1.2,0.1,0.2,2.3,1.0,4.5,008211,"DELOW, MALTE",23,https://media-cdn.incrowdsports.com/4402c134-97e3-485e-ac5d-ea9bdb7bba28.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
27,82.0,38.0,13.777235772357724,3.3,1.5,2.8,52.6%,0.0,0.0,0%,0.4,0.9,45.7%,1.6,2.1,3.8,0.4,0.5,0.9,0.7,0.3,2.5,1.3,4.5,011941,"GILLESPIE, FREDDIE",27,https://media-cdn.incrowdsports.com/8ea99782-0bb1-42b5-b330-d9b629c19654.png,MUN;RED;MIL,BAY;CZV;EA7,FC Bayern Munich;Crvena Zvezda Meridianbet Belgrade;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
28,104.0,53.0,14.205448717948716,5.5,1.4,2.5,58.4%,0.6,1.9,31.8%,0.8,1.0,80.8%,0.8,1.7,2.5,0.7,0.3,0.7,0.4,0.1,2.6,1.1,4.6,002968,"SANLI, SERTAC",33,https://media-cdn.incrowdsports.com/253a34da-7f58-4354-a9a5-cc06507200c6.png,BAR;ULK,BAR;FBB,FC Barcelona;Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
29,52.0,17.0,14.272115384615384,5.6,0.6,1.4,45.8%,1.3,3.3,39.7%,0.3,0.4,73.9%,0.4,2.0,2.4,0.5,0.4,0.6,0.1,0.1,1.4,0.7,4.6,012715,"MANEK, BRADY",26,https://media-cdn.incrowdsports.com/a71d0828-d073-452d-802b-7a82e66b4f1e.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
30,82.0,19.0,16.634349593495934,5.2,1.0,1.9,51.9%,0.9,2.0,45.6%,0.6,0.7,83.6%,0.6,1.4,2.0,0.7,0.4,0.5,0.1,0.1,2.0,1.0,4.7,001557,"GIFFEY, NIELS",33,https://media-cdn.incrowdsports.com/17f631c2-05c2-452f-9a39-3cb9533a0537.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
31,51.0,6.0,9.544771241830066,4.3,1.6,2.5,66.4%,0.1,0.3,35.3%,0.7,0.9,79.5%,1.0,1.3,2.3,0.3,0.3,0.5,0.5,0.1,1.9,0.7,4.7,007639,"BRANKOVIC, DANKO",24,https://media-cdn.incrowdsports.com/62e22400-6f30-4a28-9288-8df658855669.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
