playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,price,fantasy_points_total,fantasy_points_per_game,value_score
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOSTON, BRANDON",12.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"KEENAN, EVANS",12.8,,,
162.0,39.0,35.0,21.361538461538466,9.5,3.8,5.7,65.9%,0.0,0.1,0%,1.9,2.8,70.4%,2.0,3.0,5.0,1.2,0.6,0.9,1.3,0.3,2.2,2.2,13.4,004887,"POIRIER, VINCENT",12.8,13.499999999999998,0.3461538461538461,0.027043269230769225
165.0,34.0,20.0,21.501470588235293,8.7,3.4,4.7,71.4%,0.0,0.0,0%,2.0,2.9,69.1%,1.9,3.5,5.4,0.9,0.5,0.7,1.1,0.1,1.7,2.6,14.4,011196,"HALL, DONTA",12.8,14.500000000000004,0.4264705882352942,0.03331801470588236
134.0,34.0,8.0,15.836764705882354,8.2,3.1,4.9,64.1%,0.0,0.0,0%,1.9,2.9,67.3%,1.7,2.4,4.1,0.5,0.6,1.1,0.1,0.2,1.9,3.1,10.8,003196,"HERNANGOMEZ, WILLY",12.7,10.599999999999998,0.3117647058823529,0.024548402037980543
,,,,,,,,,,,,,,,,,,,,,,,,,,"HOLMES, RICHUAN",12.7,,,
152.0,39.0,2.0,21.746153846153845,9.1,1.1,2.5,45.4%,1.3,3.6,36.6%,2.9,3.1,94.1%,0.4,1.6,2.0,4.8,0.8,1.6,0.1,0.3,1.6,2.8,12.2,001926,"SLOUKAS, KOSTAS",12.6,12.200000000000001,0.3128205128205129,0.024827024827024834
174.0,28.0,24.0,24.464285714285715,12.6,4.0,6.6,60.2%,0.8,2.2,37.1%,2.1,2.5,85.7%,0.8,2.4,3.2,4.6,1.0,2.6,0.0,0.2,1.7,3.1,15.6,007519,"JOKUBAITIS, ROKAS",12.6,15.6,0.5571428571428572,0.04421768707482993
,,,,,,,,,,,,,,,,,,,,,,,,,,"BOLOMBOY, JOEL",12.5,,,
176.0,28.0,28.0,26.258333333333333,14.9,4.3,7.4,58.7%,1.1,2.8,40.5%,2.9,3.5,82.5%,1.8,2.9,4.7,1.6,0.7,1.6,0.2,0.3,2.7,3.9,16.2,007056,"BOOKER, DEVIN",12.5,15.999999999999998,0.5714285714285714,0.045714285714285714
166.0,29.0,4.0,19.86264367816092,8.2,2.9,5.0,58.2%,0.0,0.0,0%,2.3,2.8,83.7%,2.7,3.1,5.8,0.8,0.6,0.6,0.7,0.2,0.7,2.5,14.4,003941,"MILUTINOV, NIKOLA",12.4,14.500000000000002,0.5000000000000001,0.040322580645161296
159.0,32.0,0.0,20.593229166666667,11.5,1.8,3.3,52.8%,1.7,4.5,38.5%,2.8,3.0,94.8%,0.3,1.4,1.7,4.5,0.8,2.3,0.0,0.4,1.6,3.4,13.1,002100,"DE COLO, NANDO",12.4,13.099999999999998,0.40937499999999993,0.0330141129032258
,,,,,,,,,,,,,,,,,,,,,,,,,,"BRISSETT, OSHAE",12.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"MILTON, SHAKE",12.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"PETRUSEV,FILIP",12.3,,,
161.0,35.0,9.0,25.16333333333333,12.5,3.0,6.0,49.8%,1.2,3.1,38.9%,2.9,3.3,87.8%,0.1,1.7,1.9,4.1,1.1,1.8,0.2,0.2,2.1,3.1,13.4,011212,"OKOBO, ELIE",12.2,13.500000000000004,0.38571428571428584,0.031615925058548024
155.0,39.0,38.0,27.21410256410256,13.8,3.4,6.1,55.7%,1.9,5.0,38.3%,1.3,1.6,79.4%,1.0,3.0,4.0,1.7,0.8,1.5,0.2,0.3,1.9,1.7,12.4,012745,"PARKER, JABARI",12.1,12.4,0.317948717948718,0.026276753549480825
,,,,,,,,,,,,,,,,,,,,,,,,,,"KABENGELE, MFIONDU",12.1,,,
107.0,39.0,22.0,19.82264957264957,9.6,1.6,3.0,55.2%,1.3,3.5,37.7%,2.3,2.9,79.1%,0.5,2.2,2.7,0.7,0.5,0.6,0.2,0.4,2.1,2.2,8.5,004088,"OSMAN, CEDI",12.1,8.599999999999998,0.22051282051282045,0.018224200042381854
77.0,32.0,22.0,16.525520833333335,6.0,2.6,4.1,64.1%,0.0,0.2,0%,0.7,1.8,41.1%,1.9,2.0,3.9,0.7,0.6,1.2,0.9,0.3,2.8,1.8,7.0,013383,"GABRIEL, WENYEN",12.0,6.800000000000002,0.21250000000000005,0.017708333333333336
,,,,,,,,,,,,,,,,,,,,,,,,,,"NEBO, JOSH",12.0,,,
175.0,17.0,10.0,22.434313725490195,13.2,2.4,4.8,48.8%,1.6,5.4,30.8%,3.5,4.3,82.2%,1.1,1.8,2.9,5.3,1.7,2.1,0.4,0.4,2.4,4.3,15.9,010042,"MONTERO, JEAN",12.0,15.899999999999999,0.9352941176470587,0.07794117647058822
,,,,,,,,,,,,,,,,,,,,,,,,,,"GRAHAM, DEVONTE",12.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DOWTIN JR., JEFF",12.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LYLES, TREY",12.0,,,
158.0,15.0,6.0,19.57888888888889,10.6,2.8,4.7,59.2%,1.1,3.1,36.2%,1.6,1.9,85.7%,0.4,2.2,2.6,4.5,0.9,2.4,0.1,0.3,2.2,3.0,12.6,010568,"JONES, CHRIS",11.8,12.599999999999998,0.8399999999999999,0.07118644067796609
,,,,,,,,,,,,,,,,,,,,,,,,,,"BACON, DWAYNE",11.7,,,
149.0,36.0,25.0,22.038425925925925,10.9,2.2,3.7,58.2%,1.3,3.5,38.4%,2.5,2.9,88.3%,0.4,2.2,2.6,3.1,0.7,2.0,0.1,0.3,2.4,3.2,11.9,004004,"GUDURIC, MARKO",11.5,11.800000000000002,0.32777777777777783,0.028502415458937204
,,,,,,,,,,,,,,,,,,,,,,,,,,"ROBINSON, JUSTIN",11.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BACOT, ARMANDO",11.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"NORRIS, MILES",11.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LEAF, T.J",11.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LAPROVITTOLA, NICOLAS",11.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CANCAR, VLATKO",11.2,,,
144.0,24.0,13.0,21.17361111111111,9.0,3.3,6.0,55.9%,0.3,0.6,50%,1.5,1.9,76.1%,1.1,2.5,3.6,1.9,1.1,0.9,0.5,0.0,2.3,2.2,11.6,000925,"VESELY, JAN",11.1,11.700000000000001,0.48750000000000004,0.04391891891891892
147.0,39.0,36.0,26.32991452991453,9.5,1.9,3.4,55.6%,1.5,3.5,44.1%,1.1,1.4,79.2%,0.6,1.4,2.0,4.5,0.9,1.2,0.4,0.2,1.9,1.5,11.7,011078,"THOMPSON, DARIUS",11.0,11.699999999999996,0.2999999999999999,0.02727272727272726
130.0,38.0,0.0,19.967543859649123,15.1,2.4,4.9,48.9%,2.5,7.4,34.3%,2.7,3.1,85.7%,0.5,1.6,2.1,1.3,0.6,1.5,0.0,0.3,1.8,2.9,10.6,012640,"HIFI, NADIR",11.0,10.599999999999998,0.27894736842105256,0.02535885167464114
,,,,,,,,,,,,,,,,,,,,,,,,,,"SWIDER, COLE",10.9,,,
153.0,35.0,27.0,26.562380952380952,11.5,3.7,6.1,60.6%,0.9,2.1,44%,1.3,2.0,66.7%,1.5,2.5,4.0,1.7,1.0,1.2,0.3,0.4,3.0,2.5,12.2,011226,"DIALLO, ALPHA",10.8,12.099999999999998,0.34571428571428564,0.032010582010582
163.0,34.0,31.0,26.9156862745098,12.0,3.4,6.1,56.8%,0.8,3.0,27.7%,2.7,3.4,79.8%,1.0,2.9,3.9,3.9,0.7,2.0,0.3,0.2,2.8,3.3,13.6,009549,"CORDINIER, ISAIA",10.8,13.500000000000002,0.3970588235294118,0.03676470588235294
,,,,,,,,,,,,,,,,,,,,,,,,,,"JONES, KAI",10.8,,,
108.0,28.0,15.0,23.37559523809524,8.0,2.2,3.6,61.8%,0.8,1.8,41.2%,1.2,1.9,65.4%,1.0,2.2,3.2,1.4,0.5,1.0,0.2,0.3,1.8,1.6,8.6,009005,"DECK, GABRIEL",10.7,8.7,0.31071428571428567,0.029038718291054737
141.0,25.0,21.0,24.41133333333333,7.4,2.0,3.2,60.5%,0.8,1.8,44.4%,1.0,1.4,74.3%,1.4,3.4,4.8,1.7,0.3,0.9,0.2,0.4,0.8,1.9,11.5,007230,"SEDEKERSKIS, TADAS",10.7,11.599999999999998,0.4639999999999999,0.043364485981308404
92.0,38.0,11.0,14.914473684210526,6.3,1.6,3.1,53.4%,0.7,2.1,33.3%,0.9,1.1,80.5%,0.3,1.7,2.0,2.7,0.8,1.3,0.1,0.1,1.1,1.3,7.6,009622,"BROWN, LORENZO",10.6,7.6000000000000005,0.2,0.01886792452830189
103.0,35.0,32.0,17.37238095238095,5.8,2.5,3.4,73.7%,0.0,0.0,0%,0.8,1.9,41.2%,1.3,1.6,2.9,1.9,0.3,0.9,0.8,0.1,2.4,2.2,8.3,008811,"FALL, MOUSTAPHA",10.6,8.500000000000002,0.2428571428571429,0.022911051212938013
