Player,fantasy_points_mean,fantasy_points_std,fantasy_points_sum,fantasy_points_max,Minutes_mean,Points_mean,TotalRebounds_mean,Assistances_mean,Valuation_mean,Team_first,games_played,player.name,price,value_score,consistency,points_per_credit
"HALL, DONTA",14.352941176470589,6.494204189663349,488.0,25.0,21.501470588235293,8.735294117647058,5.352941176470588,0.8823529411764706,14.352941176470589,BAS,34.0,"HALL, DONTA",12.8,1.1213235294117647,0.13343644964722018,1.1213235294117647
"HERNANGOMEZ, WILLY",9.631578947368421,8.87273702441415,366.0,31.0,14.169736842105264,7.368421052631579,3.710526315789474,0.47368421052631576,9.631578947368421,BAR,38.0,"HERNANGOMEZ, WILLY",12.7,0.7583920430998757,0.10128903439108267,0.7583920430998757
"SLOUKAS, KOSTAS",11.9,8.48467698794383,476.0,28.0,21.2025,8.9,1.925,4.675,11.9,PAN,40.0,"SLOUKAS, KOSTAS",12.6,0.9444444444444445,0.10543321625724532,0.9444444444444445
"JOKUBAITIS, ROKAS",14.533333333333333,8.278486174013539,436.0,31.0,22.833333333333332,11.766666666666667,2.966666666666667,4.333333333333333,14.533333333333333,TEL,30.0,"JOKUBAITIS, ROKAS",12.6,1.1534391534391535,0.10777620198440582,1.1534391534391535
"BOLOMBOY, JOEL",16.555555555555557,6.844682111143977,298.0,28.0,24.270370370370372,10.166666666666666,8.333333333333334,0.6111111111111112,16.555555555555557,RED,18.0,"BOLOMBOY, JOEL",12.5,1.3244444444444445,0.1274748913763405,1.3244444444444445
"BOOKER, DEVIN",16.214285714285715,7.641781559088522,454.0,34.0,26.258333333333333,14.928571428571429,4.714285714285714,1.6428571428571428,16.214285714285715,MUN,28.0,"BOOKER, DEVIN",12.5,1.2971428571428572,0.11571688003942945,1.2971428571428572
"MILUTINOV, NIKOLA",13.483870967741936,7.6632063252137295,418.0,26.0,18.581182795698926,7.645161290322581,5.419354838709677,0.7096774193548387,13.483870967741936,OLY,31.0,"MILUTINOV, NIKOLA",12.4,1.0874089490114465,0.11543070342092183,1.0874089490114465
"DE COLO, NANDO",12.696969696969697,8.087354513702428,419.0,29.0,19.96919191919192,11.151515151515152,1.6666666666666667,4.333333333333333,12.696969696969697,ASV,33.0,"DE COLO, NANDO",12.4,1.0239491691104594,0.11004302720798924,1.0239491691104594
"OKOBO, ELIE",13.371428571428572,9.499491361881109,468.0,36.0,25.163333333333334,12.485714285714286,1.8571428571428572,4.114285714285714,13.371428571428572,MCO,35.0,"OKOBO, ELIE",12.2,1.0960187353629978,0.09524270895926887,1.0960187353629978
"PARKER, JABARI",12.435897435897436,8.146018955987584,485.0,29.0,27.21410256410256,13.820512820512821,4.0,1.7435897435897436,12.435897435897436,BAR,39.0,"PARKER, JABARI",12.1,1.0277601186692096,0.10933718865138962,1.0277601186692096
"OSMAN, CEDI",8.512820512820513,7.608415682898686,332.0,32.0,19.822649572649574,9.615384615384615,2.6666666666666665,0.6666666666666666,8.512820512820513,PAN,39.0,"OSMAN, CEDI",12.1,0.7035388853570672,0.11616539405579367,0.7035388853570672
"GABRIEL, WENYEN",6.588235294117647,7.6993413612791874,224.0,28.0,15.55343137254902,5.617647058823529,3.6470588235294117,0.6764705882352942,6.588235294117647,TEL,34.0,"GABRIEL, WENYEN",12.0,0.5490196078431372,0.1149512311875707,0.5490196078431372
"NEBO, JOSH",10.5,4.203173404306164,42.0,15.0,19.333333333333332,8.25,4.5,0.75,10.5,MIL,4.0,"NEBO, JOSH",12.0,0.875,0.1921904042583698,0.875
"GUDURIC, MARKO",11.86111111111111,9.071628544227572,427.0,30.0,22.038425925925925,10.86111111111111,2.611111111111111,3.111111111111111,11.86111111111111,ULK,36.0,"GUDURIC, MARKO",11.5,1.0314009661835748,0.09928880871734864,1.0314009661835748
"LAPROVITTOLA, NICOLAS",13.25,5.852349955359813,53.0,20.0,22.025,10.0,1.0,6.25,13.25,BAR,4.0,"LAPROVITTOLA, NICOLAS",11.3,1.1725663716814159,0.14593533700330263,1.1725663716814159
"VESELY, JAN",11.625,7.856387597805783,279.0,28.0,21.17361111111111,9.0,3.625,1.9166666666666667,11.625,BAR,24.0,"VESELY, JAN",11.1,1.0472972972972974,0.11291285402275701,1.0472972972972974
"THOMPSON, DARIUS",11.743589743589743,6.703172653060203,458.0,26.0,26.32991452991453,9.487179487179487,1.9743589743589745,4.487179487179487,11.743589743589743,IST,39.0,"THOMPSON, DARIUS",11.0,1.0675990675990674,0.12981664114755817,1.0675990675990674
"HIFI, NADIR",10.552631578947368,6.676693502840137,401.0,24.0,19.967543859649123,15.105263157894736,2.0789473684210527,1.3421052631578947,10.552631578947368,PRS,38.0,"HIFI, NADIR",11.0,0.9593301435406698,0.13026441652646822,0.9593301435406698
"DIALLO, ALPHA",12.228571428571428,7.930157309787946,428.0,35.0,26.562380952380956,11.514285714285714,4.0,1.7428571428571429,12.228571428571428,MCO,35.0,"DIALLO, ALPHA",10.8,1.132275132275132,0.11198011023881346,1.132275132275132
